idPlayer,namePlayer,dateBirth,numberJersey,idTeam,teamName,slugTeam,cityTeam,slugPlayer,yearSeasonFirst,yearSeasonLast,yearDraft,numberRound,numberOverallPick,slugSeason,nameSchool,nameOrganizationFrom,heightInches,weightLBS,countSeasonsPlayed,pts,ast,treb,countAllStarGames,ratioPIE,urlNBAAPI,nameFirst,nameLast,namePlayerAbbr,codeTeam,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto
3,Grant Long,1966-03-12,,0,"","","",grant_long,1989,2003,1988,2,33,career,Eastern Michigan,Eastern Michigan ''88/USA,,,15,9.5,1.7,6.1,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=3,Grant,Long,G. Long,"",https://stats.nba.com/player/3,https://stats.nba.com/media/players/230x185/3.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/3.png,https://stats.nba.com/media/players/700/3.png,https://stats.nba.com/media/players/230x185/3.png
15,Eric Piatkowski,1970-09-30,52,1610612746,Clippers,LAC,Los Angeles,eric_piatkowski,1995,2008,1994,1,15,career,Nebraska,Nebraska/USA,79,215,14,7.5,1,2.2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=15,Eric,Piatkowski,E. Piatkowski,clippers,https://stats.nba.com/player/15,https://stats.nba.com/media/players/230x185/15.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/15.png,https://stats.nba.com/media/players/700/15.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/15.png
21,Greg Anthony,1967-11-15,50,1610612752,Knicks,NYK,New York,greg_anthony,1992,2002,1991,1,12,career,Nevada-Las Vegas,Portland; Nevada-Las Vegas/USA,73,180,10,7.3,4,1.9,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=21,Greg,Anthony,G. Anthony,knicks,https://stats.nba.com/player/21,https://stats.nba.com/media/players/230x185/21.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/21.png,https://stats.nba.com/media/players/700/21.png,https://stats.nba.com/media/players/230x185/21.png
22,Rik Smits,1966-08-23,45,1610612754,Pacers,IND,Indiana,rik_smits,1989,2000,1988,1,2,career,Marist,Marist/USA,88,265,11,14.8,1.4,6.1,1,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=22,Rik,Smits,R. Smits,pacers,https://stats.nba.com/player/22,https://stats.nba.com/media/players/230x185/22.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/22.png,https://stats.nba.com/media/players/700/22.png,https://stats.nba.com/media/players/230x185/22.png
26,Luc Longley,1969-01-19,,0,"","","",luc_longley,1992,2001,1991,1,7,career,New Mexico,New Mexico/USA,,,9,7.2,1.5,4.9,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=26,Luc,Longley,L. Longley,"",https://stats.nba.com/player/26,https://stats.nba.com/media/players/230x185/26.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/26.png,https://stats.nba.com/media/players/700/26.png,https://stats.nba.com/media/players/230x185/26.png
28,Doug West,1967-05-27,,0,"","","",doug_west,1990,2001,1989,2,38,career,Villanova,Villanova/USA,,,11,9.6,1.9,2.5,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=28,Doug,West,D. West,"",https://stats.nba.com/player/28,https://stats.nba.com/media/players/230x185/28.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/28.png,https://stats.nba.com/media/players/700/28.png,https://stats.nba.com/media/players/230x185/28.png
29,Jim McIlvaine,1972-07-30,,0,"","","",jim_mcilvaine,1995,2001,1994,2,32,career,Marquette,Marquette/USA,,,6,2.7,0.3,3.1,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=29,Jim,McIlvaine,J. McIlvaine,"",https://stats.nba.com/player/29,https://stats.nba.com/media/players/230x185/29.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/29.png,https://stats.nba.com/media/players/700/29.png,https://stats.nba.com/media/players/230x185/29.png
42,Monty Williams,1971-10-08,5,1610612753,Magic,ORL,Orlando,monty_williams,1995,2003,1994,1,24,career,Notre Dame,Notre Dame ''94/USA,80,225,9,6.3,1.2,2.8,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=42,Monty,Williams,M. Williams,magic,https://stats.nba.com/player/42,https://stats.nba.com/media/players/230x185/42.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/42.png,https://stats.nba.com/media/players/700/42.png,https://stats.nba.com/media/players/230x185/42.png
43,Chris Whitney,1971-10-05,12,1610612764,Wizards,WAS,Washington,chris_whitney,1994,2004,1993,2,47,career,Clemson,Clemson ''93/USA,72,175,11,6.5,2.8,1.4,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=43,Chris,Whitney,C. Whitney,wizards,https://stats.nba.com/player/43,https://stats.nba.com/media/players/230x185/43.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/43.png,https://stats.nba.com/media/players/700/43.png,https://stats.nba.com/media/players/230x185/43.png
45,George McCloud,1967-05-27,21,1610612754,Pacers,IND,Indiana,george_mccloud,1990,2003,1989,1,7,career,Florida State,Florida State ''89/USA,80,230,12,9,2.3,3.1,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=45,George,McCloud,G. McCloud,pacers,https://stats.nba.com/player/45,https://stats.nba.com/media/players/230x185/45.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/45.png,https://stats.nba.com/media/players/700/45.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/45.png
49,Gheorghe Muresan,1971-02-14,77,1610612764,Bullets,WAS,Washington,gheorghe_muresan,1994,2000,1993,2,30,career,"",Cluj (Romania)/USA,91,303,5,9.8,0.5,6.4,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=49,Gheorghe,Muresan,G. Muresan,wizards,https://stats.nba.com/player/49,https://stats.nba.com/media/players/230x185/49.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/49.png,https://stats.nba.com/media/players/700/49.png,https://stats.nba.com/media/players/230x185/49.png
51,Mahmoud Abdul-Rauf,1969-03-09,1,1610612743,Nuggets,DEN,Denver,mahmoud_abdul-rauf,1991,2001,1990,1,3,career,Louisiana State,Louisiana State/USA,73,162,8,14.6,3.5,1.9,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=51,Mahmoud,Abdul-Rauf,M. Abdul-Rauf,nuggets,https://stats.nba.com/player/51,https://stats.nba.com/media/players/230x185/51.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/51.png,https://stats.nba.com/media/players/700/51.png,https://stats.nba.com/media/players/230x185/51.png
53,Mario Elie,1963-11-26,17,1610612745,Rockets,HOU,Houston,mario_elie,1991,2001,1985,7,160,career,American International,American International/USA,77,225,10,8.6,2.6,2.8,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=53,Mario,Elie,M. Elie,rockets,https://stats.nba.com/player/53,https://stats.nba.com/media/players/230x185/53.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/53.png,https://stats.nba.com/media/players/700/53.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/53.png
54,Dickey Simpkins,1972-04-06,,0,"","","",dickey_simpkins,1995,2002,1994,1,21,career,Providence,Providence/USA,,,6,4.2,0.9,3.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=54,Dickey,Simpkins,D. Simpkins,"",https://stats.nba.com/player/54,https://stats.nba.com/media/players/230x185/54.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/54.png,https://stats.nba.com/media/players/700/54.png,https://stats.nba.com/media/players/230x185/54.png
56,Gary Payton,1968-07-23,20,1610612760,SuperSonics,SEA,Seattle,gary_payton,1991,2007,1990,1,2,career,Oregon State,Oregon State/USA,76,190,17,16.3,6.7,3.9,9,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=56,Gary,Payton,G. Payton,thunder,https://stats.nba.com/player/56,https://stats.nba.com/media/players/230x185/56.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/56.png,https://stats.nba.com/media/players/700/56.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/56.png
57,Doug Christie,1970-05-09,,0,"","","",doug_christie,1993,2007,1992,1,17,career,Pepperdine,Pepperdine/USA,,,14,11.2,3.6,4.1,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=57,Doug,Christie,D. Christie,"",https://stats.nba.com/player/57,https://stats.nba.com/media/players/230x185/57.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/57.png,https://stats.nba.com/media/players/700/57.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/57.png
63,Michael Smith,1972-03-28,34,1610612758,Kings,SAC,Sacramento,michael_smith,1995,2001,1994,2,35,career,Shaw,Providence/USA,80,240,7,5.6,1.5,7.1,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=63,Michael,Smith,M. Smith,kings,https://stats.nba.com/player/63,https://stats.nba.com/media/players/230x185/63.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/63.png,https://stats.nba.com/media/players/700/63.png,https://stats.nba.com/media/players/230x185/63.png
64,Sam Perkins,1961-06-14,14,1610612742,Mavericks,DAL,Dallas,sam_perkins,1985,2001,1984,1,4,career,North Carolina,North Carolina/USA,81,260,16,11.9,1.5,6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=64,Sam,Perkins,S. Perkins,mavericks,https://stats.nba.com/player/64,https://stats.nba.com/media/players/230x185/64.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/64.png,https://stats.nba.com/media/players/700/64.png,https://stats.nba.com/media/players/230x185/64.png
67,Tom Hammonds,1967-03-27,,0,"","","",tom_hammonds,1990,2001,1989,1,9,career,Georgia Tech,Georgia Tech/USA,,,11,5.3,0.6,3.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=67,Tom,Hammonds,T. Hammonds,"",https://stats.nba.com/player/67,https://stats.nba.com/media/players/230x185/67.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/67.png,https://stats.nba.com/media/players/700/67.png,https://stats.nba.com/media/players/230x185/67.png
70,Steve Kerr,1965-09-27,25,1610612741,Bulls,CHI,Chicago,steve_kerr,1989,2003,1988,2,50,career,Arizona,Arizona ''88/USA,73,180,15,6,1.8,1.2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=70,Steve,Kerr,S. Kerr,bulls,https://stats.nba.com/player/70,https://stats.nba.com/media/players/230x185/70.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/70.png,https://stats.nba.com/media/players/700/70.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/70.png
72,Kenny Anderson,1970-10-09,,0,"","","",kenny_anderson,1992,2005,1991,1,2,career,Georgia Tech,Georgia Tech '93/USA,,,13,12.6,6.1,3.1,1,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=72,Kenny,Anderson,K. Anderson,"",https://stats.nba.com/player/72,https://stats.nba.com/media/players/230x185/72.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/72.png,https://stats.nba.com/media/players/700/72.png,https://stats.nba.com/media/players/230x185/72.png
76,Cedric Ceballos,1969-08-02,23,1610612756,Suns,PHX,Phoenix,cedric_ceballos,1991,2001,1990,2,48,career,Cal State-Fullerton,Ventura Coll. CA (J.C.); Cal State-Fullerton/USA,79,220,10,14.3,1.2,5.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=76,Cedric,Ceballos,C. Ceballos,suns,https://stats.nba.com/player/76,https://stats.nba.com/media/players/230x185/76.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76.png,https://stats.nba.com/media/players/700/76.png,https://stats.nba.com/media/players/230x185/76.png
77,Doug Overton,1969-08-03,24,1610612764,Bullets,WAS,Washington,doug_overton,1993,2004,1991,2,40,career,La Salle,La Salle ''91/USA,75,190,11,4.5,2.1,1.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=77,Doug,Overton,D. Overton,wizards,https://stats.nba.com/player/77,https://stats.nba.com/media/players/230x185/77.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77.png,https://stats.nba.com/media/players/700/77.png,https://stats.nba.com/media/players/230x185/77.png
84,Latrell Sprewell,1970-09-08,8,1610612744,Warriors,GSW,Golden State,latrell_sprewell,1993,2005,1992,1,24,career,Alabama,Alabama/USA,77,195,13,18.3,4,4.1,4,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=84,Latrell,Sprewell,L. Sprewell,warriors,https://stats.nba.com/player/84,https://stats.nba.com/media/players/230x185/84.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/84.png,https://stats.nba.com/media/players/700/84.png,https://stats.nba.com/media/players/230x185/84.png
87,Dikembe Mutombo,1966-06-25,55,1610612743,Nuggets,DEN,Denver,dikembe_mutombo,1992,2009,1991,1,4,career,Georgetown,Georgetown/Congo,86,260,18,9.8,1,10.3,8,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=87,Dikembe,Mutombo,D. Mutombo,nuggets,https://stats.nba.com/player/87,https://stats.nba.com/media/players/230x185/87.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/87.png,https://stats.nba.com/media/players/700/87.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/87.png
89,Nick Van Exel,1971-11-27,31,1610612747,Lakers,LAL,Los Angeles,nick_van exel,1994,2006,1993,2,37,career,Cincinnati,Cincinnati/USA,73,190,12,14.4,6.6,2.9,1,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=89,Nick,Van Exel,N. Van Exel,lakers,https://stats.nba.com/player/89,https://stats.nba.com/media/players/230x185/89.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/89.png,https://stats.nba.com/media/players/700/89.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/89.png
93,Hubert Davis,1970-05-17,44,1610612752,Knicks,NYK,New York,hubert_davis,1993,2004,1992,1,20,career,North Carolina,North Carolina ''92/USA,77,183,12,8.2,1.7,1.5,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=93,Hubert,Davis,H. Davis,knicks,https://stats.nba.com/player/93,https://stats.nba.com/media/players/230x185/93.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/93.png,https://stats.nba.com/media/players/700/93.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/93.png
95,Mark Bryant,1965-04-25,9,1610612757,Trail Blazers,POR,Portland,mark_bryant,1989,2003,1988,1,21,career,Seton Hall,Seton Hall ''88/USA,81,250,15,5.4,0.6,3.8,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=95,Mark,Bryant,M. Bryant,blazers,https://stats.nba.com/player/95,https://stats.nba.com/media/players/230x185/95.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/95.png,https://stats.nba.com/media/players/700/95.png,https://stats.nba.com/media/players/230x185/95.png
